"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"199",0,0,0,0,1,1,0,0,0,1
"200",0,1,0,0,1,1,0,1,0,2
"201",0,0,0,0,0,0,0,0,0,0
"202",0,0,0,0,0,0,0,0,1,2
"203",0,0,0,0,1,0,0,0,0,1
"204",0,0,0,0,0,0,0,0,0,0
"205",0,0,0,0,1,0,0,0,0,1
"206",1,1,0,0,0,0,0,0,0,0
"207",0,0,0,0,0,0,0,0,0,0
"208",0,0,0,0,0,0,0,0,0,0
"209",0,1,0,1,2,0,1,2,2,3
"210",0,1,0,0,1,0,1,1,0,1
"211",0,0,0,0,1,0,0,0,0,1
"212",1,0,1,0,0,0,0,0,1,0
"213",0,1,0,0,2,1,0,1,0,3
"214",0,1,0,0,1,0,1,1,0,1
"215",0,1,0,0,1,0,0,0,0,2
"216",0,0,0,0,1,0,0,0,0,1
"217",0,0,0,0,0,2,0,2,1,2
"218",0,0,0,0,0,0,0,0,0,0
"219",0,1,0,0,1,0,0,1,0,1
"220",0,0,0,0,0,0,0,0,0,0
"221",0,0,0,0,0,0,0,0,0,1
"222",0,1,0,0,1,0,1,1,0,1
"223",0,0,0,0,0,0,0,0,0,0
"224",0,0,0,1,0,0,0,0,0,0
"225",0,0,0,0,1,0,0,0,0,1
"226",0,0,0,0,1,0,0,0,0,1
"227",0,0,0,0,0,0,0,0,0,0
"228",0,0,0,0,0,0,0,0,0,0
"229",0,0,0,0,0,0,0,0,0,0
"230",0,0,0,0,0,0,0,0,0,0
"231",1,3,1,1,1,2,0,0,4,2
"232",0,0,0,0,3,1,1,2,0,3
"233",0,1,0,1,2,1,1,0,2,2
"234",0,0,0,0,0,0,1,1,0,1
"235",0,0,0,0,0,0,0,0,0,0
"236",0,0,0,0,0,0,0,0,0,0
"237",0,2,0,0,1,0,1,1,0,1
"238",0,0,0,0,0,0,0,0,0,0
"239",0,0,0,0,0,0,0,0,0,0
"240",0,1,0,0,1,0,0,0,0,1
"241",0,0,0,0,0,0,0,0,0,0
"242",0,0,0,0,1,1,0,1,1,3
"243",0,0,0,0,1,1,0,0,0,1
"244",0,1,0,0,1,0,0,1,0,2
"245",0,1,0,0,2,1,1,1,0,3
"246",0,1,0,0,2,0,0,1,0,5
"247",0,0,0,0,0,0,0,0,0,0
"248",0,1,0,0,2,0,0,1,0,2
"249",0,0,0,0,0,0,0,0,0,0
"250",0,4,0,1,4,1,3,3,1,6
"251",0,0,0,0,1,1,0,0,0,1
"252",0,3,1,1,4,1,0,1,1,4
"253",0,0,0,0,0,0,0,0,0,0
"254",0,0,0,0,0,0,0,0,0,0
"255",2,5,1,3,1,2,2,6,4,7
"256",0,0,0,0,1,0,0,1,0,1
"257",0,1,0,0,2,1,0,1,0,2
"258",0,0,0,0,2,1,0,1,0,3
"259",0,3,0,0,4,1,3,1,1,8
"260",0,0,0,0,1,0,0,0,0,1
"261",0,0,0,0,0,0,0,0,0,0
"262",0,0,0,0,0,0,0,0,1,0
"263",0,1,0,0,0,0,0,0,0,0
"264",0,1,0,1,1,1,0,1,2,3
"265",0,0,0,0,0,1,0,0,0,0
"266",0,0,0,0,1,0,0,0,0,1
"267",0,0,0,0,0,0,0,0,0,0
"268",0,0,0,0,0,0,0,0,0,0
